the;0.155556;15.5556%
and;0.0666667;6.66667%
Beware;0.0444444;4.44444%
The;0.0444444;4.44444%
that;0.0444444;4.44444%
All;0.0222222;2.22222%
And;0.0222222;2.22222%
Bandersnatch;0.0222222;2.22222%
Did;0.0222222;2.22222%
Jabberwock;0.0222222;2.22222%
Jubjub;0.0222222;2.22222%
Twas;0.0222222;2.22222%
bird;0.0222222;2.22222%
bite;0.0222222;2.22222%
borogoves;0.0222222;2.22222%
brillig;0.0222222;2.22222%
catch;0.0222222;2.22222%
claws;0.0222222;2.22222%
frumious;0.0222222;2.22222%
gimble;0.0222222;2.22222%
gyre;0.0222222;2.22222%
in;0.0222222;2.22222%
jaws;0.0222222;2.22222%
mimsy;0.0222222;2.22222%
mome;0.0222222;2.22222%
my;0.0222222;2.22222%
outgrabe;0.0222222;2.22222%
raths;0.0222222;2.22222%
shun;0.0222222;2.22222%
slithy;0.0222222;2.22222%
son;0.0222222;2.22222%
toves;0.0222222;2.22222%
wabe;0.0222222;2.22222%
were;0.0222222;2.22222%
